yamnet_index,group_index,group_name,yamnet_display_name
0,1,Human,Speech
1,1,Human,"Child speech, kid speaking"
2,1,Human,Conversation
3,1,Human,"Narration, monologue"
4,1,Human,Babbling
5,1,Human,Speech synthesizer
6,1,Human,Shout
7,1,Human,Bellow
8,1,Human,Whoop
9,1,Human,Yell
10,1,Human,Children shouting
11,1,Human,Screaming
12,1,Human,Whispering
13,1,Human,Laughter
14,1,Human,Baby laughter
15,1,Human,Giggle
16,1,Human,Snicker
17,1,Human,Belly laugh
18,1,Human,"Chuckle, chortle"
19,1,Human,"Crying, sobbing"
20,1,Human,"Baby cry, infant cry"
21,1,Human,Whimper
22,1,Human,"Wail, moan"
23,1,Human,Sigh
24,1,Human,Singing
25,1,Human,Choir
26,1,Human,Yodeling
27,1,Human,Chant
28,1,Human,Mantra
29,1,Human,Child singing
30,1,Human,Synthetic singing
31,1,Human,Rapping
32,1,Human,Humming
33,1,Human,Groan
34,1,Human,Grunt
35,1,Human,Whistling
36,1,Human,Breathing
37,1,Human,Wheeze
38,1,Human,Snoring
39,1,Human,Gasp
40,1,Human,Pant
41,1,Human,Snort
42,1,Human,Cough
43,1,Human,Throat clearing
44,1,Human,Sneeze
45,1,Human,Sniff
46,1,Human,Run
47,1,Human,Shuffle
48,1,Human,"Walk, footsteps"
49,1,Human,"Chewing, mastication"
50,1,Human,Biting
51,1,Human,Gargling
52,1,Human,Stomach rumble
53,1,Human,"Burping, eructation"
54,1,Human,Hiccup
55,1,Human,Fart
56,1,Human,Hands
57,1,Human,Finger snapping
58,1,Human,Clapping
59,1,Human,"Heart sounds, heartbeat"
60,1,Human,Heart murmur
61,1,Human,Cheering
62,1,Human,Applause
63,1,Human,Chatter
64,1,Human,Crowd
65,1,Human,"Hubbub, speech noise, speech babble"
66,1,Human,Children playing
67,4,Wild_Animal,Animal
68,4,Wild_Animal,"Domestic animals, pets"
69,2,Domestic_Pet,Dog
70,2,Domestic_Pet,Bark
71,2,Domestic_Pet,Yip
72,2,Domestic_Pet,Howl
73,2,Domestic_Pet,Bow-wow
74,2,Domestic_Pet,Growling
75,2,Domestic_Pet,Whimper (dog)
76,2,Domestic_Pet,Cat
77,2,Domestic_Pet,Purr
78,2,Domestic_Pet,Meow
79,2,Domestic_Pet,Hiss
80,2,Domestic_Pet,Caterwaul
81,3,Livestock,"Livestock, farm animals, working animals"
82,3,Livestock,Horse
83,3,Livestock,Clip-clop
84,3,Livestock,"Neigh, whinny"
85,3,Livestock,"Cattle, bovinae"
86,3,Livestock,Moo
87,3,Livestock,Cowbell
88,3,Livestock,Pig
89,3,Livestock,Oink
90,3,Livestock,Goat
91,3,Livestock,Bleat
92,3,Livestock,Sheep
93,3,Livestock,Fowl
94,3,Livestock,"Chicken, rooster"
95,3,Livestock,Cluck
96,3,Livestock,"Crowing, cock-a-doodle-doo"
97,3,Livestock,Turkey
98,3,Livestock,Gobble
99,3,Livestock,Duck
100,3,Livestock,Quack
101,3,Livestock,Goose
102,3,Livestock,Honk
103,4,Wild_Animal,Wild animals
104,4,Wild_Animal,"Roaring cats (lions, tigers)"
105,4,Wild_Animal,Roar
106,5,Bird,Bird
107,5,Bird,"Bird vocalization, bird call, bird song"
108,5,Bird,"Chirp, tweet"
109,5,Bird,Squawk
110,5,Bird,"Pigeon, dove"
111,5,Bird,Coo
112,5,Bird,Crow
113,5,Bird,Caw
114,5,Bird,Owl
115,5,Bird,Hoot
116,5,Bird,"Bird flight, flapping wings"
117,4,Wild_Animal,"Canidae, dogs, wolves"
118,4,Wild_Animal,"Rodents, rats, mice"
119,4,Wild_Animal,Mouse
120,4,Wild_Animal,Patter
121,6,Insect,Insect
122,6,Insect,Cricket
123,6,Insect,Mosquito
124,6,Insect,"Fly, housefly"
125,6,Insect,Buzz
126,6,Insect,"Bee, wasp, etc."
127,7,Frog_Reptile,Frog
128,7,Frog_Reptile,Croak
129,7,Frog_Reptile,Snake
130,7,Frog_Reptile,Rattle
131,7,Frog_Reptile,Whale vocalization
132,8,Music,Music
133,8,Music,Musical instrument
134,8,Music,Plucked string instrument
135,8,Music,Guitar
136,8,Music,Electric guitar
137,8,Music,Bass guitar
138,8,Music,Acoustic guitar
139,8,Music,"Steel guitar, slide guitar"
140,8,Music,Tapping (guitar technique)
141,8,Music,Strum
142,8,Music,Banjo
143,8,Music,Sitar
144,8,Music,Mandolin
145,8,Music,Zither
146,8,Music,Ukulele
147,8,Music,Keyboard (musical)
148,8,Music,Piano
149,8,Music,Electric piano
150,8,Music,Organ
151,8,Music,Electronic organ
152,8,Music,Hammond organ
153,8,Music,Synthesizer
154,8,Music,Sampler
155,8,Music,Harpsichord
156,8,Music,Percussion
157,8,Music,Drum kit
158,8,Music,Drum machine
159,8,Music,Drum
160,8,Music,Snare drum
161,8,Music,Rimshot
162,8,Music,Drum roll
163,8,Music,Bass drum
164,8,Music,Timpani
165,8,Music,Tabla
166,8,Music,Cymbal
167,8,Music,Hi-hat
168,8,Music,Wood block
169,8,Music,Tambourine
170,8,Music,Rattle (instrument)
171,8,Music,Maraca
172,8,Music,Gong
173,8,Music,Tubular bells
174,8,Music,Mallet percussion
175,8,Music,"Marimba, xylophone"
176,8,Music,Glockenspiel
177,8,Music,Vibraphone
178,8,Music,Steelpan
179,8,Music,Orchestra
180,8,Music,Brass instrument
181,8,Music,French horn
182,8,Music,Trumpet
183,8,Music,Trombone
184,8,Music,Bowed string instrument
185,8,Music,String section
186,8,Music,"Violin, fiddle"
187,8,Music,Pizzicato
188,8,Music,Cello
189,8,Music,Double bass
190,8,Music,"Wind instrument, woodwind instrument"
191,8,Music,Flute
192,8,Music,Saxophone
193,8,Music,Clarinet
194,8,Music,Harp
195,8,Music,Bell
196,8,Music,Church bell
197,8,Music,Jingle bell
198,8,Music,Bicycle bell
199,8,Music,Tuning fork
200,8,Music,Chime
201,8,Music,Wind chime
202,8,Music,Change ringing (campanology)
203,8,Music,Harmonica
204,8,Music,Accordion
205,8,Music,Bagpipes
206,8,Music,Didgeridoo
207,8,Music,Shofar
208,8,Music,Theremin
209,8,Music,Singing bowl
210,8,Music,Scratching (performance technique)
211,8,Music,Pop music
212,8,Music,Hip hop music
213,8,Music,Beatboxing
214,8,Music,Rock music
215,8,Music,Heavy metal
216,8,Music,Punk rock
217,8,Music,Grunge
218,8,Music,Progressive rock
219,8,Music,Rock and roll
220,8,Music,Psychedelic rock
221,8,Music,Rhythm and blues
222,8,Music,Soul music
223,8,Music,Reggae
224,8,Music,Country
225,8,Music,Swing music
226,8,Music,Bluegrass
227,8,Music,Funk
228,8,Music,Folk music
229,8,Music,Middle Eastern music
230,8,Music,Jazz
231,8,Music,Disco
232,8,Music,Classical music
233,8,Music,Opera
234,8,Music,Electronic music
235,8,Music,House music
236,8,Music,Techno
237,8,Music,Dubstep
238,8,Music,Drum and bass
239,8,Music,Electronica
240,8,Music,Electronic dance music
241,8,Music,Ambient music
242,8,Music,Trance music
243,8,Music,Music of Latin America
244,8,Music,Salsa music
245,8,Music,Flamenco
246,8,Music,Blues
247,8,Music,Music for children
248,8,Music,New-age music
249,8,Music,Vocal music
250,8,Music,A capella
251,8,Music,Music of Africa
252,8,Music,Afrobeat
253,8,Music,Christian music
254,8,Music,Gospel music
255,8,Music,Music of Asia
256,8,Music,Carnatic music
257,8,Music,Music of Bollywood
258,8,Music,Ska
259,8,Music,Traditional music
260,8,Music,Independent music
261,8,Music,Song
262,8,Music,Background music
263,8,Music,Theme music
264,8,Music,Jingle (music)
265,8,Music,Soundtrack music
266,8,Music,Lullaby
267,8,Music,Video game music
268,8,Music,Christmas music
269,8,Music,Dance music
270,8,Music,Wedding music
271,8,Music,Happy music
272,8,Music,Sad music
273,8,Music,Tender music
274,8,Music,Exciting music
275,8,Music,Angry music
276,8,Music,Scary music
277,9,Wind_Storm,Wind
278,9,Wind_Storm,Rustling leaves
279,9,Wind_Storm,Wind noise (microphone)
280,9,Wind_Storm,Thunderstorm
281,9,Wind_Storm,Thunder
282,10,Rain,Water
283,10,Rain,Rain
284,10,Rain,Raindrop
285,10,Rain,Rain on surface
286,11,Water,Stream
287,11,Water,Waterfall
288,11,Water,Ocean
289,11,Water,"Waves, surf"
290,11,Water,Steam
291,11,Water,Gurgling
292,12,Fire,Fire
293,12,Fire,Crackle
294,13,Watercraft,Vehicle
295,13,Watercraft,"Boat, Water vehicle"
